station_id,name,state,lat,lon,elevation_m
KGRB,Green Bay,WI,44.4986,-88.1111,208
KGRK,Fort Hood,TX,30.7222,-97.3828,165
KGRR,Grand Rapids,MI,42.8939,-85.5447,236
KGSP,Greenville/Spartanburg,SC,34.8833,-82.2203,288
KGWX,Columbus AFB,MS,33.8967,-88.3289,68
KGYX,Portland,ME,43.8914,-70.2569,125
KHDX,Holloman AFB,NM,33.0767,-106.1219,1287
KHGX,Houston,TX,29.4719,-95.0789,5
KHJX,Jacksonville,FL,30.4864,-81.7019,10
KHNX,San Joaquin Valley,CA,36.3142,-119.6322,74
KHPX,Fort Campbell,KY,36.7369,-87.2853,176
KHTX,Huntsville,AL,34.9306,-86.0839,536
KICT,Wichita,KS,37.6544,-97.4428,408
KICX,Cedar City,UT,37.5908,-112.8619,3238
KILN,Cincinnati,OH,39.4203,-83.8217,322
KILX,Lincoln,IL,40.1506,-89.3367,177
KIND,Indianapolis,IN,39.7075,-86.2803,241
KINX,Tulsa,OK,36.1750,-95.5644,204
KIWA,Phoenix,AZ,33.2892,-111.6703,412
KIWX,Fort Wayne,IN,41.3589,-85.7000,293
KJAX,Jacksonville,FL,30.4864,-81.7019,10
KJGX,Robins AFB,GA,32.6756,-83.3511,159
KJKL,Jackson,KY,37.5908,-83.3131,416
KLBB,Lubbock,TX,33.6542,-101.8139,993
KLCH,Lake Charles,LA,30.1253,-93.2158,13
KLIX,New Orleans,LA,30.3367,-89.8253,7
KLNX,North Platte,NE,41.9578,-100.5758,849
KLOT,Chicago,IL,41.6044,-88.0847,202
KLRX,Elko,NV,40.7397,-116.8028,2056
KLSX,St. Louis,MO,38.6989,-90.6828,185
KLTX,Wilmington,NC,33.9892,-78.4292,19
KLVX,Louisville,KY,37.9753,-85.9439,219
KLWX,Baltimore/Washington,MD,38.9753,-77.4878,83
KLZK,Little Rock,AR,34.8364,-92.2619,173
KMAF,Midland,TX,31.9433,-102.1892,872
KMAX,Medford,OR,42.0811,-122.7178,2290
KMBX,Minot AFB,ND,48.3925,-100.8644,455
KMHX,Morehead City,NC,34.7758,-76.8764,9
KMKX,Milwaukee,WI,42.9678,-88.5506,292
KMLB,Melbourne,FL,28.1131,-80.6542,10
KMOB,Mobile,AL,30.6797,-88.2397,63
KMPX,Minneapolis,MN,44.8489,-93.5653,288
KMQT,Marquette,MI,46.5311,-87.5483,430
KMRX,Knoxville,TN,36.1686,-83.4017,403
KMSX,Missoula,MT,47.0411,-113.9864,2394
KMTX,Salt Lake City,UT,41.2628,-112.4478,1969
KMUX,San Francisco,CA,37.1550,-121.8983,1057
KMVX,Grand Forks,ND,47.5278,-97.3253,300
KMXX,Maxwell AFB,AL,32.5369,-85.7897,122
KNKX,San Diego,CA,32.9189,-117.0419,291
KNQA,Memphis,TN,35.3447,-89.8733,85
KOAX,Omaha,NE,41.3203,-96.3667,350
KOHX,Nashville,TN,36.2472,-86.5625,177
KOKX,New York City,NY,40.8656,-72.8644,26
KOTX,Spokane,WA,47.6803,-117.6258,727
KPAH,Paducah,KY,37.0683,-88.7719,119
KPBZ,Pittsburgh,PA,40.5317,-80.2178,361
KPDT,Pendleton,OR,45.6906,-118.8528,462
KPOE,Fort Polk,LA,31.1553,-92.9758,124
KPUX,Pueblo,CO,38.4594,-104.1817,1624
KRAX,Raleigh/Durham,NC,35.6656,-78.4897,106
KRGX,Reno,NV,39.7542,-119.4619,2530
KRIW,Riverton,WY,43.0661,-108.4772,1697
KRLX,Charleston,WV,38.3111,-81.7228,328
KRTX,Portland,OR,45.7150,-122.9650,479
KSFX,Pocatello,ID,43.1058,-112.6864,1364
KSGF,Springfield,MO,37.2353,-93.4006,390
KSHV,Shreveport,LA,32.4508,-93.8411,83
KSJT,San Angelo,TX,31.3714,-100.4922,576
KSOX,Santa Ana Mountains,CA,33.8178,-117.6358,935
KSRX,Fort Smith,AR,35.2908,-94.3617,219
KTBW,Tampa,FL,27.7056,-82.4017,11
KTFX,Great Falls,MT,47.4597,-111.3856,1131
KTLH,Tallahassee,FL,30.3975,-84.3289,19
KTLX,Oklahoma City,OK,35.3331,-97.2778,370
KTWX,Topeka,KS,38.9969,-96.2325,417
KTYX,Montague,NY,43.7558,-75.6800,562
KUDX,Rapid City,SD,44.1250,-102.8297,920
KUEX,Hastings,NE,40.3208,-98.4417,602
KVAX,Moody AFB,GA,30.8903,-83.0019,53
KVBX,Vandenberg AFB,CA,34.8381,-120.3978,373
KVNX,Vance AFB,OK,36.7408,-98.1275,369
KVTX,Los Angeles,CA,34.4117,-119.1797,832
KVWX,Evansville,IN,38.2603,-87.7247,178
KYUX,Yuma,AZ,32.4953,-114.6558,53
PABC,Bethel,AK,60.7919,-161.8764,46
PACG,Sitka,AK,56.8528,-135.5294,195
PAEC,Nome,AK,64.5114,-165.2950,18
PAHG,Anchorage,AK,60.7256,-151.3514,243
PAIH,Middleton Island,AK,59.4619,-146.3033,20
PAKC,King Salmon,AK,58.6794,-156.6294,26
PAPD,Fairbanks,AK,65.0353,-147.5019,790
PHKI,South Kauai,HI,21.8944,-159.5525,179
PHKM,Kamuela,HI,20.1256,-155.7781,1167
PHMO,Molokai,HI,21.1328,-157.1803,416
PHWA,South Point,HI,19.0950,-155.5689,422
TJUA,San Juan,PR,18.1156,-66.0781,869
